Time,asks,bids,price
2020-04-03 13:00:00 UTC,13204121.5,10410644.5,6909.0
2020-04-03 14:00:00 UTC,13674746.6666667,12140332.0,6805.91666666667
2020-04-03 15:00:00 UTC,14783493.0,11105388.25,6755.875
2020-04-03 16:00:00 UTC,14161688.5,12031276.0,6679.375
2020-04-03 17:00:00 UTC,11218385.75,8972240.0,6716.0
2020-04-03 18:00:00 UTC,11216478.5,7813884.25,6715.5
2020-04-03 19:00:00 UTC,11198822.5,8703201.25,6755.25
2020-04-03 20:00:00 UTC,14981914.0,8506824.25,6755.25
2020-04-03 21:00:00 UTC,9113231.66666667,7257439.33333333,6722.41666666667
2020-04-03 22:00:00 UTC,11155469.0,9102535.33333333,6725.75
2020-04-03 23:00:00 UTC,11692525.5,8534296.5,6752.875
2020-04-04 00:00:00 UTC,11609277.6666667,10367120.3333333,6738.91666666667
2020-04-04 01:00:00 UTC,13871591.5,9560313.75,6772.125
2020-04-04 02:00:00 UTC,12251544.3333333,12072559.0,6725.25
2020-04-04 03:00:00 UTC,12505112.3333333,11438020.6666667,6697.91666666667
2020-04-04 04:00:00 UTC,14296922.3333333,9727424.0,6713.91666666667
2020-04-04 05:00:00 UTC,13875653.0,9402355.0,6732.25
2020-04-04 06:00:00 UTC,12171799.6666667,12244338.3333333,6718.58333333333
2020-04-04 07:00:00 UTC,15247870.3333333,11282763.3333333,6734.91666666667
2020-04-04 08:00:00 UTC,16995255.0,9651660.66666667,6760.41666666667
2020-04-04 09:00:00 UTC,16715742.6666667,11588000.0,6772.41666666667
2020-04-04 10:00:00 UTC,14003030.5,12188801.0,6870.125
2020-04-04 11:00:00 UTC,12089842.3333333,13241470.6666667,6809.08333333333
2020-04-04 12:00:00 UTC,17219134.6666667,11814890.3333333,6709.75
2020-04-04 13:00:00 UTC,18192089.5,12222214.25,6720.75
2020-04-04 14:00:00 UTC,16800980.3333333,11499132.0,6723.41666666667
2020-04-04 15:00:00 UTC,16227820.3333333,11683324.6666667,6741.58333333333
2020-04-04 16:00:00 UTC,16981045.0,11243908.6666667,6774.08333333333
2020-04-04 17:00:00 UTC,14072868.6666667,10740615.0,6790.58333333333
2020-04-04 18:00:00 UTC,14675022.6666667,11098048.0,6788.58333333333
2020-04-04 19:00:00 UTC,12492717.0,10598259.3333333,6764.58333333333
2020-04-04 20:00:00 UTC,10253909.25,8683005.0,6799.5
2020-04-04 21:00:00 UTC,9822412.0,9724172.0,6869.08333333333
2020-04-04 22:00:00 UTC,9520866.66666667,8297886.33333333,6858.08333333333
2020-04-04 23:00:00 UTC,9368906.66666667,10777924.6666667,6850.41666666667
2020-04-05 00:00:00 UTC,10440379.25,10322585.0,6879.0
2020-04-05 01:00:00 UTC,10581496.3333333,9791085.0,6873.41666666667
2020-04-05 02:00:00 UTC,10968684.6666667,11351052.3333333,6839.58333333333
2020-04-05 03:00:00 UTC,10770150.5,12566703.5,6827.25
2020-04-05 04:00:00 UTC,11257553.6666667,13325588.6666667,6782.41666666667
2020-04-05 05:00:00 UTC,12124155.5,10229864.25,6802.75
2020-04-05 06:00:00 UTC,10468379.3333333,13455331.6666667,6770.58333333333
2020-04-05 07:00:00 UTC,12243581.25,11820717.25,6772.875
2020-04-05 08:00:00 UTC,13566230.0,12115576.3333333,6784.91666666667
2020-04-05 09:00:00 UTC,13208055.0,13135287.6666667,6791.41666666667
2020-04-05 10:00:00 UTC,15170400.0,14798015.0,6772.25
2020-04-05 11:00:00 UTC,10609802.25,12550915.0,6785.75
2020-04-05 12:00:00 UTC,13282157.0,14155084.0,6790.75
2020-04-05 13:00:00 UTC,14748926.3333333,15503311.6666667,6802.75
2020-04-05 14:00:00 UTC,11683860.5,16031163.5,6779.0
2020-04-05 15:00:00 UTC,15106156.0,13751791.6666667,6794.25
2020-04-05 16:00:00 UTC,14195074.75,14808401.75,6783.0
2020-04-05 17:00:00 UTC,11508372.6666667,11156952.3333333,6733.25
2020-04-05 18:00:00 UTC,10931187.0,12706197.0,6809.75
2020-04-05 19:00:00 UTC,10566069.0,14823828.25,6804.375
2020-04-05 20:00:00 UTC,10663749.6666667,13408897.3333333,6768.08333333333
2020-04-05 21:00:00 UTC,12176795.0,11928332.25,6759.375
2020-04-05 22:00:00 UTC,10830783.0,10591002.0,6789.41666666667
2020-04-05 23:00:00 UTC,13173606.25,11637645.75,6791.375
2020-04-06 00:00:00 UTC,11902692.75,10656923.0,6830.375
2020-04-06 01:00:00 UTC,12491488.6666667,13597044.6666667,6851.75
2020-04-06 02:00:00 UTC,13252039.6666667,13686144.3333333,6833.91666666667
2020-04-06 03:00:00 UTC,15894038.0,13705508.5,6844.5
2020-04-06 04:00:00 UTC,17598942.3333333,11224562.0,6916.25
2020-04-06 05:00:00 UTC,18290938.0,12497216.25,6962.75
2020-04-06 06:00:00 UTC,16007936.6666667,13626084.6666667,7035.91666666667
2020-04-06 07:00:00 UTC,12973948.5,15190933.75,7047.25
2020-04-06 08:00:00 UTC,16809041.6666667,15088349.3333333,7072.58333333333
2020-04-06 09:00:00 UTC,19378533.75,11987955.5,7124.25
2020-04-06 10:00:00 UTC,17272185.6666667,14366757.3333333,7125.08333333333
2020-04-06 11:00:00 UTC,13769073.75,14831502.25,7113.125
2020-04-06 12:00:00 UTC,18458480.0,12759094.3333333,7137.91666666667
2020-04-06 13:00:00 UTC,18151441.0,14333834.5,7132.375
2020-04-06 14:00:00 UTC,16314017.5,14438261.75,7108.125
2020-04-06 15:00:00 UTC,18973670.3333333,14831961.6666667,7120.58333333333
2020-04-06 16:00:00 UTC,16170166.25,12664970.0,7140.375
2020-04-06 17:00:00 UTC,19188051.0,12120318.5,7180.5
2020-04-06 18:00:00 UTC,21608062.75,10761623.75,7216.5
2020-04-06 19:00:00 UTC,16059919.0,12425530.0,7288.125
2020-04-06 20:00:00 UTC,10700342.3333333,13128157.3333333,7252.25
2020-04-06 21:00:00 UTC,11044989.25,12655143.5,7256.875
2020-04-06 22:00:00 UTC,13687431.0,12780679.75,7270.625
2020-04-06 23:00:00 UTC,13209193.0,11720857.3333333,7282.91666666667
