,Side,Size,Price
584,Sell,86,13862
585,Sell,500,13861
586,Sell,1536,13859.5
587,Sell,600,13852
588,Sell,1000,13850.5
589,Sell,17199,13850
590,Sell,7041,13845
591,Sell,116,13819
592,Sell,5,13815
593,Sell,1000,13811.5
594,Sell,6095,13800
595,Sell,5000,13798.5
596,Sell,100,13798
597,Sell,8000,13793
598,Sell,600,13777
599,Sell,86,13759
600,Sell,5888,13750
601,Sell,250,13748
602,Sell,872,13747
603,Sell,2,13725
604,Sell,600,13704
605,Sell,5321,13700
606,Sell,720,13689
607,Sell,37,13688
608,Sell,3600,13678.5
609,Sell,4,13675.5
610,Sell,116,13655.5
611,Sell,86,13655
612,Sell,1536,13650.5
613,Sell,330,13650
614,Sell,825,13609.5
615,Sell,9986,13600
616,Sell,2058,13599.5
617,Sell,70,13598
618,Sell,131,13595.5
619,Sell,600,13556.5
620,Sell,84,13552
621,Sell,500,13549
622,Sell,1186,13500
623,Sell,115,13493.5
624,Sell,1000,13475
625,Sell,872,13472
626,Sell,2000,13455.5
627,Sell,1000,13450.5
628,Sell,100,13450
629,Sell,84,13448
630,Sell,100,13444
631,Sell,1536,13441.5
632,Sell,600,13441
633,Sell,600,13408.5
634,Sell,55,13400
635,Sell,720,13398
636,Sell,5000,13396.5
637,Sell,5000,13396
638,Sell,1000,13388
639,Sell,1000,13356.5
640,Sell,1000,13350
641,Sell,84,13345
642,Sell,50,13343
643,Sell,825,13334.5
644,Sell,114,13333.5
645,Sell,2058,13316.5
646,Sell,131,13312.5
647,Sell,36,13312
648,Sell,320,13300
649,Sell,50,13279.5
650,Sell,1050,13267
651,Sell,850,13260.5
652,Sell,5000,13258.5
653,Sell,500,13250
654,Sell,83,13241
655,Sell,1536,13233
656,Sell,35,13225.5
657,Sell,75,13221
658,Sell,800,13210.5
659,Sell,50,13200
660,Sell,872,13197.5
661,Sell,113,13175.5
662,Sell,370,13150
663,Sell,80,13142.5
664,Sell,82,13138
665,Sell,1040,13134.5
666,Sell,35,13125
667,Sell,150,13123.5
668,Sell,3200,13123
669,Sell,1200,13113
670,Sell,50,13100
671,Sell,1000,13074.5
672,Sell,825,13060
673,Sell,82,13034
674,Sell,2058,13033
675,Sell,131,13029.5
676,Sell,1536,13024
677,Sell,113,13019
678,Sell,1000,13014.5
679,Sell,1029,13002.5
680,Sell,341611,13000
681,Sell,40,12998
682,Sell,100000,12989
683,Sell,200,12982.5
684,Sell,500,12982
685,Sell,2570,12980
686,Sell,560,12976
687,Sell,600,12965
688,Sell,2000,12958
689,Sell,2000,12950.5
690,Sell,35,12938
691,Sell,81,12931
692,Sell,70,12930
693,Sell,872,12922.5
694,Sell,790,12903
695,Sell,50,12900
696,Sell,115,12890
697,Sell,1019,12873
698,Sell,112,12864.5
699,Sell,300,12864
700,Sell,4000,12833
701,Sell,80,12828
702,Sell,8000,12822
703,Sell,600,12817
704,Sell,1536,12815
705,Sell,500,12804.5
706,Sell,300,12801
707,Sell,100,12800
708,Sell,400,12799
709,Sell,600,12793
710,Sell,825,12785
711,Sell,2092,12750
712,Sell,250,12748
713,Sell,131,12746.5
714,Sell,35,12745
715,Sell,1009,12744
716,Sell,1000,12730
717,Sell,80,12724
718,Sell,111,12712
719,Sell,50,12700
720,Sell,720,12696
721,Sell,116,12687
722,Sell,5000,12680
723,Sell,300,12678
724,Sell,600,12669.5
725,Sell,2000,12654.5
726,Sell,58415,12650
727,Sell,872,12647.5
728,Sell,79,12621
729,Sell,999,12617
730,Sell,1536,12606
731,Sell,500,12604.5
732,Sell,350,12600
733,Sell,15,12563
734,Sell,34,12562
735,Sell,110,12561.5
736,Sell,600,12521.5
